Title,Genre,Theme,Mode,Perspective,Source, File Location,Status,Difficulty (out of 5),Game Length (in hours),File Size (in GB),Top 100,Single-Player,Open World,Action RPG,Action-Adventure,Other,Best Lists,IGN,IGDB,OpenCritic,MetaCritic,GameRankings,Avg. Score,Personal Rating,Owned?,MapGenie?,Save Wizard?,Comments,,,
Assassin's Creed 3 Remastered,"Role-playing (RPG), Adventure","Action, Historical, Stealth, Sandbox, Open World",Single Player,Third Person,Playstation Plus,Drive 2,Unplayed,2.96,53.50,63.25,,,,,,,0,7.80,8.00,6.90,7.20,7.02,7.38,0,Y,Y,Y,,,,
Assassin's Creed 4: Black Flag,"Platform, Adventure","Action, Fantasy, Science Fiction, Historical, Stealth, Sandbox, Open World","Single Player, Multiplayer, Co-operative",Third Person,Playstation Plus,Drive 2,Unplayed,2.88,61.00,22.95,1,,,,,,1,8.50,8.50,8.50,8.80,8.48,8.56,0,Y,Y,Y,,,,
Assassin's Creed Chronicles: China,"Platform, Role-playing (RPG), Adventure","Action, Fantasy, Historical, Stealth",Single Player,Side View,Playstation Plus,Drive 2,In-Progress,3.11,18.00,3.15,,,,,,,0,6.40,7.00,6.70,6.90,6.81,6.76,2,Y,N,N,,,,
Assassin's Creed Chronicles: India,"Platform, Adventure","Action, Fantasy, Historical, Stealth",Single Player,Side View,Playstation Plus,Drive 2,In-Progress,3.54,14.00,3.68,,,,,,,0,6.00,6.00,6.30,6.30,6.29,6.18,2,Y,N,N,,,,
Assassin's Creed Chronicles: Russia,"Platform, Adventure","Action, Fantasy, Historical, Stealth",Single Player,Side View,Playstation Plus,Drive 2,In-Progress,3.50,14.50,5.11,,,,,,,0,5.80,5.60,5.90,6.20,5.76,5.85,2,Y,N,N,,,,
Assassin's Creed Freedom Cry,Adventure,"Action, Fantasy, Historical, Stealth, Open World","Single Player, Multiplayer",Third Person,Playstation Plus,Drive 2,Unplayed,2.87,7.50,7.66,,,,,,,0,N/A,7.50,7.40,7.10,7.78,7.44,0,Y,Y,Y,,,,
Assassin's Creed Rogue Remastered,Adventure,"Action, Historical, Stealth, Open World",Single Player,Third Person,Playstation Plus,Drive 2,Unplayed,2.78,39.50,9.48,,,,,,,0,6.00,6.80,7.10,7.10,7.08,6.82,0,Y,Y,Y,,,,
Assassin's Creed: Odyssey,"Role-playing (RPG), Adventure","Action, Historical, Stealth, Open World",Single Player,Third Person,Playstation Plus,Drive 2,In-Progress,2.98,144.00,115.40,1,1,,1,,,3,9.20,8.80,8.40,8.30,8.35,8.61,4,Y,Y,Y,,,,
Assassin's Creed: Origins,"Role-playing (RPG), Adventure","Action, Historical, Stealth, Open World",Single Player,Third Person,Digital Download,Drive 2,Completed,2.97,85.00,86.75,,1,,,,,1,9.00,8.60,8.50,8.10,8.26,8.49,5,Y,Y,Y,,,,
Assassin's Creed: Syndicate,Adventure,"Action, Fantasy, Science Fiction, Historical, Stealth, Open World",Single Player,Third Person,Playstation Plus,Drive 2,Unplayed,2.81,55.00,69.04,,,,,,,0,8.20,7.20,7.70,7.60,7.77,7.69,0,Y,Y,Y,,,,
Assassin's Creed: The Ezio Collection,"Adventure, Puzzle","Action, Fantasy, Historical, Stealth, Sandbox, Open World",Single Player,Third Person,Playstation Plus,Drive 2,In-Progress,2.97,173.33,38.00,,,,,,1,1,6.00,7.10,7.40,7.20,6.91,6.92,4,Y,Y,Y,"Contains the following:
• Assassin's Creed 2
• Assassin's Creed Brotherhood
• Assassin's Creed Revelations",,,
Assassin's Creed: Unity,"Role-playing (RPG), Adventure","Action, Fantasy, Historical, Stealth, Open World","Single Player, Multiplayer, Co-operative",Third Person,Playstation Plus,Drive 2,Unplayed,2.97,79.00,55.49,,,,,,,0,7.80,7.10,7.10,7.20,6.81,7.20,0,Y,Y,Y,,,,
