Title,Game Genre,Theme,Mode,Perspective,Folder,Status,Difficulty (out of 5),Game Length (in hours),File Size (in GB),IGN,IGDB,OpenCritic,MetaCritic,GameRankings,Avg. Score,Personal Ranking,Owned,Source,Mods?
Child of Light,"Platform, Role-playing (RPG), Adventure",Fantasy,"Single Player, Multiplayer, Co-operative",Side View,N/A,Unplayed,2.85,27.72,2.34,9.30,8.80,8.30,8.20,8.46,8.61,,Y,ROM,N
Citizens of Earth,Role-playing (RPG),Comedy,Single Player,Bird view/Isometric,N/A,Unplayed,2.92,39.83,1.51,6.50,7.10,6.80,6.60,6.95,6.79,,Y,ROM,N
Clock Tower,"Point-and-click, Puzzle, Adventure",Horror,Single Player,Side View,N/A,Unplayed,3.67,13.40,0.23,7.50,7.00,6.90,6.80,7.17,7.07,0,Y,ROM,N
Contra Advance: The Alien Wars Ex,"Shooter, Platform, Adventure","Action, Science Fiction",Single Player,"Bird view/Isometric, Side View",Contra,Unplayed,4.03,1.50,0.07,7.00,5.00,N/A,N/A,6.41,6.14,,Y,ROM,N
Contra III The Alien Wars,"Shooter, Adventure","Action, Science Fiction","Single Player, Multiplayer, Co-operative, Split Screen","Third Person, Bird view/Isometric, Side View",Contra,Unplayed,4.19,13.55,0.04,8.00,8.10,N/A,7.00,8.64,7.93,,Y,ROM,N
Deus Ex: Human Revolution - Director's Cut,"Shooter, Puzzle, Role-playing (RPG), Adventure","Action, Science Fiction, Thriller, Stealth",Single Player,"First Person, Third Person",N/A,Unplayed,3.31,75.97,15.00,9.00,9.00,N/A,8.80,8.93,8.93,0,Y,ROM,Y
Devil's Third,"Shooter, Hack and Slash/Beat 'em up",Action,"Single Player, Multiplayer","First Person, Third Person",N/A,Unplayed,3.58,20.37,14.66,3.50,4.00,4.40,N/A,4.36,4.06,0,Y,ROM,N
Disney Epic Mickey 2: The Power of Two,"Platform, Adventure","Action, Fantasy","Single Player, Co-operative",Third Person,Disney,Unplayed,2.96,39.97,7.31,6.00,5.20,N/A,5.90,5.54,5.66,0,Y,ROM,Y
Disney Planes,"Puzzle, Racing, Simulator, Adventure",Action,"Single Player, Multiplayer",Third Person,Disney,Unplayed,2.42,8.83,2.23,6.00,7.00,N/A,5.10,5.34,5.86,,Y,ROM,N
Don't Starve: Giant Edition,"Simulator, Adventure, Indie","Action, Fantasy, Horror, Survival, Sandbox, Open World",Single Player,Bird view/Isometric,N/A,Unplayed,4.56,156.98,0.34,7.50,7.50,7.60,7.50,7.31,7.48,0,Y,ROM,Y
